event_id,trade_count,ticker,event_type,date,execution_price,units_transacted,units_held_after,avg_buy_price,stop_loss_price,stop_loss_pct,position_size_used,portfolio_value,cash_after,realized_gain_abs,realized_gain_pct
1,1,ZEEL,BUY,2016-11-01,509.6,30493,30493,509.6,385.61593214188895,0.2432968364562619,15539232.8,100000000.0,84460767.2,,
2,2,ZEEL,BUY,2017-04-03,530.05,27774,58267,519.347855561467,393.0778332989698,0.25841367173102575,14721608.7,100623581.85,69739158.5,,
3,3,ZEEL,BUY,2017-04-07,547.45,24891,83158,527.7594392602034,393.0778332989698,0.28198404731213855,13626577.950000001,101637427.65,56112580.55,,
4,4,ZEEL,BUY,2017-04-11,541.4,25778,108936,530.9872645406476,393.0778332989698,0.2739604113428707,13956209.2,101134321.75,42156371.349999994,,
5,5,ZEEL,BUY,2017-05-03,528.95,30693,139629,530.5394366499796,406.04594129143135,0.23235477589293635,16235062.350000001,99778068.55,25921308.999999993,,
6,6,ZEEL,BUY,2017-05-12,526.55,30295,169924,529.8281775970434,406.04594129143135,0.22885587068382607,15951832.249999998,99442958.94999999,9969476.749999994,,
7,7,ZEEL,BUY,2017-05-15,525.15,46,169970,529.8269115137966,406.04594129143135,0.22680007370954705,24156.899999999998,99205065.35,9945319.849999994,,
8,1,WELSPUNLIV,BUY,2017-05-24,82.1,121136,121136,82.1,59.640194727319354,0.2735664466830772,9945265.6,96587527.35,54.249999994412065,,
9,2,WELSPUNLIV,SELL,2018-04-17,52.5,121136,0,,53.35319368512602,-0.01625130828811472,6359640.0,104219921.75,6359694.249999994,-3585625.5999999996,-0.36053593179049936
10,8,ZEEL,SELL,2018-09-06,470.3,169970,0,,479.65756769771957,-0.019897018281351393,79936891.0,86296585.25,86296585.25,-10117789.150000006,-0.11235161940664562
11,3,WELSPUNLIV,BUY,2018-09-28,58.1,210427,210427,58.10000000000001,42.59527515678235,0.26686273396243804,12225808.700000001,86296585.25,74070776.55,,
12,4,WELSPUNLIV,BUY,2018-10-03,58.95,199904,410331,58.514100811296245,42.59527515678235,0.27743383957960394,11784340.8,86475448.2,62286435.75,,
13,5,WELSPUNLIV,BUY,2018-11-05,59.5,194916,605247,58.83160346106631,42.68300189830345,0.2826386235579252,11597502.0,86701130.25,50688933.75,,
14,6,WELSPUNLIV,BUY,2018-11-12,60.95,189863,795110,59.33745186200652,43.51064230913893,0.28612563889845893,11572149.85,87578738.4,39116783.9,,
15,7,WELSPUNLIV,BUY,2018-12-17,61.95,212922,1008032,59.88928848488937,46.258118772140676,0.25329913200741444,13190517.9,88373848.4,25926266.0,,
16,8,WELSPUNLIV,BUY,2018-12-19,62.0,212366,1220398,60.25658125463988,46.258118772140676,0.25390131012676326,13166692.0,88424250.0,12759574.0,,
17,9,WELSPUNLIV,BUY,2019-01-04,60.65,66947,1287345,60.27704057575863,47.61180807547124,0.21497431037969927,4060335.55,86776712.7,8699238.45,,
18,10,WELSPUNLIV,SELL,2019-02-15,48.35,1287345,0,,48.39664268361399,-0.0009646883891207615,62243130.75,70942369.2,70942369.2,-15354216.049999997,-0.1978703742226403
19,1,AMBER,BUY,2019-09-25,899.5,12422,12422,899.5,683.5879968899869,0.24003557877711293,11173589.0,70942369.2,59768780.2,,
20,2,AMBER,BUY,2019-09-26,873.85,14033,26455,885.8940105840106,683.5879968899869,0.2177284466556195,12262737.05,70623744.9,47506043.150000006,,
21,3,AMBER,BUY,2019-09-27,866.35,13029,39484,879.4448434809037,662.0025269029069,0.23587172978252802,11287674.15,70425332.4,36218369.00000001,,
22,4,AMBER,BUY,2019-10-03,874.6,12581,52065,878.274134255258,662.0025269029069,0.24307966281396426,11003342.6,70751075.4,25215026.400000006,,
23,5,AMBER,BUY,2019-10-09,877.45,12441,64506,878.1151869593527,662.0025269029069,0.24553817664492925,10916355.450000001,70899460.65,14298670.950000005,,
24,6,AMBER,BUY,2019-10-16,914.9,7595,72101,881.9900382796357,662.0025269029069,0.27642089091386285,6948665.5,73315210.35000001,7350005.450000005,,
25,7,AMBER,BUY,2019-10-17,908.4,52,72153,882.0090716948707,662.0025269029069,0.2712433653644794,47236.799999999996,72846553.85000001,7302768.650000005,,
26,9,ZEEL,BUY,2021-02-16,206.1,35433,35433,206.1,149.04591739487,0.2768271839162057,7302741.3,239249410.10000002,27.350000005215406,,
27,8,AMBER,SELL,2022-05-19,2421.35,72153,0,,2485.8219230757413,-0.026626436936312975,174707666.54999998,182867913.79999998,174707693.89999998,111068065.99999997,1.745266548502872
28,10,ZEEL,SELL,2023-02-21,210.95,35433,0,,211.22827529560686,-0.00131915285900391,7474591.35,182182285.24999997,182182285.24999997,171850.0499999998,0.023532265890344517
29,9,AMBER,BUY,2023-06-08,2072.6,12141,12141,2072.6,1505.3255122365729,0.2737018661408024,25163436.599999998,182182285.24999997,157018848.64999998,,
30,10,AMBER,BUY,2023-06-16,2129.75,12469,24610,2101.5558451848838,1575.2855756579168,0.26034249294146417,26555852.75,182876143.39999998,130462995.89999998,,
31,11,AMBER,BUY,2023-06-19,2105.95,12987,37597,2103.073702689044,1575.2855756579168,0.25198339198085573,27349972.65,182290425.39999998,103113023.24999997,,
32,12,AMBER,BUY,2023-06-28,2197.4,11287,48884,2124.8530357581208,1575.2855756579168,0.2831138729143912,24802053.8,185728671.04999995,78310969.44999997,,
33,13,AMBER,BUY,2023-07-04,2238.75,11263,60147,2146.181140372753,1608.5621382858624,0.28149094883936915,25215041.25,187750024.45,53095928.19999997,,
34,14,AMBER,BUY,2023-07-05,2219.3,11550,71697,2157.9601942898585,1608.5621382858624,0.2751939177732338,25632915.000000004,186580165.29999998,27463013.19999997,,
35,15,AMBER,BUY,2023-07-07,2222.9,3928,75625,2161.3331999999996,1619.898971208664,0.27126772629957985,8731551.200000001,186838274.49999997,18731461.99999997,,
36,16,AMBER,BUY,2023-07-18,2211.5,39,75664,2161.3590578082044,1619.898971208664,0.26751120451790006,86248.5,185976149.49999997,18645213.49999997,,
37,11,ZEEL,BUY,2023-07-18,224.05,83218,83218,224.05000000000004,168.50666523109658,0.24790597977640452,18644992.900000002,185976149.49999997,220.5999999679625,,
38,12,ZEEL,SELL,2024-01-23,155.9,83218,0,,187.60108395520646,-0.20334242434385155,12973686.200000001,289226953.99999994,12973906.79999997,-5671306.700000001,-0.30417317563043966
39,11,WELSPUNLIV,BUY,2024-05-29,140.3,92472,92472,140.3,100.68152195318558,0.28238402029090826,12973821.600000001,282530689.99999994,85.19999996758997,,
40,12,WELSPUNLIV,SELL,2025-02-24,114.2,92472,0,,114.85550945169763,-0.005740012711888139,10560302.4,466401938.79999995,10560387.599999968,-2413519.200000001,-0.18602993585174632
41,13,ZEEL,BUY,2025-07-25,123.75,85336,85336,123.75,88.31597065644903,0.2863355906549574,10560330.0,560319878.8000001,57.5999999679625,,
42,14,ZEEL,SELL,2025-10-31,100.65,85336,0,,100.71133772041915,-0.0006094160001902288,8589068.4,616099165.2,8589125.999999968,-1971261.5999999996,-0.18666666666666665
43,1,DBL,BUY,2025-11-06,479.35,17918,17918,479.35,376.12984588411246,0.2153335853048661,8588993.3,601352251.6,132.69999996758997,,
44,13,WELSPUNLIV,BUY,2025-12-31,130.7,1,1,130.7,93.8016453408062,0.28231334857837637,130.7,491375829.79999995,1.9999999675899858,,
